INSTRUMENT,SYMBOL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,_c15,EXPIRY_DT,CLOSE_prev,OPEN_INT_prev,CHANGE_IN_LTP,CHANGE_IN_OI
FUTSTK,HINDUNILVR,0.0,XX,2469.0,2505.7,2466.15,2497.35,2497.35,6226,46555.1,9942600,-250200,03-MAY-2023,,25-05-2023,2467.85,10192800,1.1953724429217374,-2.4546738874499647
FUTSTK,IBULHSGFIN,0.0,XX,112.95,118.0,111.85,114.7,114.7,2887,13324.34,49312000,1096000,03-MAY-2023,,25-05-2023,113.8,48216000,0.7908557753509422,2.273104363696698
FUTSTK,ICICIBANK,0.0,XX,924.95,927.35,917.4,926.2,926.2,18985,122624.56,71505700,-1124200,03-MAY-2023,,25-05-2023,928.2,72629900,-0.21547080087237794,-1.5478473741530692
FUTSTK,ICICIGI,0.0,XX,1088.9,1094.5,1084.15,1092.8,1092.8,1056,4890.81,5160350,-22950,03-MAY-2023,,25-05-2023,1093.25,5183300,-0.04115720758060828,-0.44276812069530996
FUTSTK,ICICIPRULI,0.0,XX,438.7,441.75,432.3,433.2,433.2,957,6261.94,12916500,108000,03-MAY-2023,,25-05-2023,441.65,12808500,-1.9132756269059668,0.8431900690947418
FUTSTK,IDEA,0.0,XX,6.9,7.15,6.9,6.95,6.95,853,4192.68,485450000,-1750000,03-MAY-2023,,25-05-2023,6.95,487200000,0.0,-0.35919540229885055
FUTSTK,IDFC,0.0,XX,90.8,92.5,90.7,91.8,91.8,1313,12062.7,167250000,2270000,03-MAY-2023,,25-05-2023,91.3,164980000,0.5476451076530096,1.3759243544672082
FUTSTK,IDFCFIRSTB,0.0,XX,63.9,65.4,63.7,64.6,64.6,4716,45779.77,212340000,4485000,03-MAY-2023,,25-05-2023,64.3,207855000,0.4665558446736031,2.157754203651584
FUTSTK,IEX,0.0,XX,155.05,158.6,154.8,156.35,156.35,2078,12232.74,40290000,-277500,03-MAY-2023,,25-05-2023,155.75,40567500,0.385236663573435,-0.6840451100018488
FUTSTK,IGL,0.0,XX,491.8,497.45,491.8,493.55,493.55,665,4527.1,5710375,-46750,03-MAY-2023,,25-05-2023,495.15,5757125,-0.32313564035913545,-0.8120372581800811
FUTSTK,INDHOTEL,0.0,XX,349.0,364.5,347.95,357.3,357.3,7379,52861.7,24462000,-182000,03-MAY-2023,,25-05-2023,349.0,24644000,2.378219997985315,-0.7385164745982795
FUTSTK,INDIACEM,0.0,XX,186.9,189.9,185.95,188.05,188.05,1139,6215.81,17330400,-17400,03-MAY-2023,,25-05-2023,187.75,17347800,0.1597885761692743,-0.10030090270812438
FUTSTK,INDIAMART,0.0,XX,5691.75,5734.95,5590.95,5722.9,5722.9,1971,16796.92,269250,-23850,03-MAY-2023,,25-05-2023,5631.95,293100,1.6148883402226797,-8.137154554759467
FUTSTK,INDIGO,0.0,XX,2164.7,2244.0,2155.3,2178.3,2178.3,16758,110320.65,3478500,185400,03-MAY-2023,,25-05-2023,2082.75,3293100,4.5876868960809025,5.6299535392183655
FUTSTK,INDUSINDBK,0.0,XX,1163.75,1165.15,1144.2,1150.65,1150.65,6045,31349.76,21579300,-148500,03-MAY-2023,,25-05-2023,1157.9,21727800,-0.6261335043730353,-0.6834562173804988
FUTSTK,INDUSTOWER,0.0,XX,155.25,155.55,150.7,151.45,151.45,4076,17366.87,25370800,1486800,03-MAY-2023,,25-05-2023,156.3,23884000,-3.103010882162027,6.225087924970691
FUTSTK,INFY,0.0,XX,1271.9,1276.85,1268.1,1273.5,1273.5,15914,81010.58,38991600,-1744000,03-MAY-2023,,25-05-2023,1282.15,40735600,-0.6746499434038951,-4.28126749084339
FUTSTK,INTELLECT,0.0,XX,450.1,453.1,445.55,450.15,450.15,480,2155.72,4373000,-7000,03-MAY-2023,,25-05-2023,451.75,4380000,-0.3541795469874101,-0.15981735159817353
FUTSTK,IOC,0.0,XX,82.9,84.0,82.7,83.1,83.1,1900,15426.38,74148750,214500,03-MAY-2023,,25-05-2023,82.6,73934250,0.6053268876955875,0.2901226427535276
FUTSTK,IPCALAB,0.0,XX,711.1,716.8,705.75,712.7,712.7,771,3578.39,3477500,-77350,03-MAY-2023,,25-05-2023,712.85,3554850,-0.02103715845441187,-2.175900530261474
FUTSTK,IRCTC,0.0,XX,627.85,636.7,625.65,631.75,631.75,2806,15520.16,13075125,78750,03-MAY-2023,,25-05-2023,630.35,12996375,0.22210271567966935,0.6059381943041809
FUTSTK,ITC,0.0,XX,422.0,427.2,420.65,426.3,426.3,5553,37817.26,51942400,220800,03-MAY-2023,,25-05-2023,422.85,51721600,0.8158878182937885,0.4269009466064468
FUTSTK,JINDALSTEL,0.0,XX,590.85,597.55,582.45,590.8,590.8,2948,21668.42,17522500,-192500,03-MAY-2023,,25-05-2023,596.45,17715000,-0.9472754293617726,-1.0866497318656505
FUTSTK,JKCEMENT,0.0,XX,3005.55,3026.65,2987.0,3008.8,3008.8,438,3295.71,416000,-3500,03-MAY-2023,,25-05-2023,3000.25,419500,0.28497787944754605,-0.834326579261025
